batchId,error,createTime
269,"业务主题-批次运行失败-(2003, ""Can't connect to MySQL server on '202.117.111.249' (timed out)"")",2023-06-07 15:02:40.050823
270,"业务主题-存储业务主题数据失败-(""Cannot save file into a non-existent directory: 'G:\\工作_马转转\\文档\\python\\pycharm_project\\批次处理\\basic_theme_out\\pass'"",);",2023-06-07 15:05:43.008813
271,"业务主题-批次运行失败-('Out of bounds nanosecond timestamp: 1-01-01 01:01:01',)",2023-06-07 15:10:34.517331
275,,2023-06-07 15:40:40.702933
277,,2023-06-08 15:35:25.810655
281,,2023-06-08 15:40:28.674588
282,,2023-06-08 15:41:40.248859
283,,2023-06-08 15:46:48.957815
284,"业务主题-存储业务主题数据失败-(13, 'Permission denied');",2023-06-08 16:26:20.382326
285,,2023-06-08 16:26:47.891037
286,,2023-06-08 16:30:04.417108
287,,2023-06-08 16:48:14.223078
288,,2023-06-08 16:53:08.107409
289,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-08 16:55:40.221269
290,"业务主题-存储业务主题数据失败-(2, 'No such file or directory');",2023-06-08 17:59:48.563780
291,"业务主题-存储业务主题数据失败-(""invalid mode: 'r++b'"",);",2023-06-08 18:00:16.940147
292,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-08 18:01:31.140060
293,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:29:33.198131
294,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:31:42.828596
295,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:32:01.762727
296,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:33:30.389255
299,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:41:38.873721
300,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 09:45:31.915421
305,"业务主题-存储业务主题数据失败-(""NDFrame.to_excel() got an unexpected keyword argument 'mode'"",);",2023-06-12 10:10:33.637735
306,,2023-06-12 10:12:33.562625
307,,2023-06-12 10:13:08.115630
308,,2023-06-12 10:15:56.398771
311,,2023-06-12 11:59:50.583327
312,,2023-06-12 13:38:17.297099
313,,2023-06-12 14:20:56.374030
314,,2023-06-12 15:27:18.676709
317,,2023-06-12 15:33:41.915383
316,,2023-06-12 15:33:42.341758
315,,2023-06-12 15:33:48.917607
319,,2023-06-12 15:33:54.784106
320,,2023-06-12 15:34:03.183059
321,,2023-06-12 15:34:13.973865
324,,2023-06-12 15:36:32.769846
326,,2023-06-12 15:36:33.303873
325,,2023-06-12 15:36:41.623666
328,,2023-06-12 15:36:54.101498
329,,2023-06-12 15:36:57.676578
330,,2023-06-12 15:37:23.613533
333,,2023-06-12 16:05:30.214560
343,,2023-06-12 17:19:49.824139
344,,2023-06-12 17:21:28.738737
347,,2023-06-12 17:28:52.687333
358,,2023-06-13 14:58:28.898771
359,,2023-06-13 14:58:29.479505
360,,2023-06-13 14:58:30.710637
370,,2023-06-13 15:55:10.840725
371,,2023-06-13 15:55:13.256243
372,,2023-06-13 15:55:13.951174
373,,2023-06-13 15:55:14.442883
374,,2023-06-13 15:57:32.933386
375,,2023-06-13 15:58:24.132951
376,,2023-06-13 15:58:26.499060
377,,2023-06-13 15:58:31.373950
378,,2023-06-13 15:58:34.134612
379,,2023-06-13 15:58:34.635307
380,,2023-06-13 15:58:56.117258
381,,2023-06-13 15:59:08.389510
382,,2023-06-13 15:59:40.607998
383,,2023-06-13 16:00:03.338256
386,,2023-06-13 16:08:46.033862
387,,2023-06-13 16:08:49.162718
388,,2023-06-13 16:08:50.752190
389,,2023-06-13 16:08:51.109359
391,,2023-06-13 16:09:05.597167
392,,2023-06-13 16:09:06.644908
393,,2023-06-13 16:09:07.303654
394,,2023-06-13 16:09:07.565045
395,,2023-06-13 16:09:08.150013
397,,2023-06-13 16:14:35.644362
398,,2023-06-13 16:14:37.222293
399,,2023-06-13 16:14:38.048539
400,,2023-06-13 16:14:38.494833
401,,2023-06-13 16:14:39.177387
405,,2023-06-13 16:29:46.086086
407,,2023-06-13 17:32:04.802582
408,,2023-06-13 19:13:45.863483
411,,2023-06-14 09:39:13.386074
412,,2023-06-14 09:39:15.252851
413,,2023-06-14 09:39:15.800372
414,,2023-06-14 09:39:17.366073
415,,2023-06-14 09:39:18.580371
416,,2023-06-14 09:39:19.977476
417,,2023-06-14 09:39:20.437069
418,,2023-06-14 09:39:40.121113
419,,2023-06-14 09:39:41.497606
420,,2023-06-14 09:40:10.598176
421,,2023-06-14 09:40:12.395730
422,,2023-06-14 09:40:14.059151
426,,2023-06-14 10:10:12.714627
428,,2023-06-14 10:47:58.813854
429,,2023-06-14 10:47:59.979950
430,,2023-06-14 10:48:04.328711
431,,2023-06-14 10:48:27.772065
432,,2023-06-14 10:49:02.507202
433,,2023-06-14 10:49:03.247260
434,,2023-06-14 10:49:22.310217
435,,2023-06-14 10:49:31.310529
442,,2023-06-14 11:29:25.600025
444,,2023-06-14 11:30:25.534257
445,,2023-06-14 11:30:32.269091
448,,2023-06-14 15:31:48.079131
450,,2023-06-14 15:39:29.322665
451,,2023-06-14 15:40:00.940579
452,,2023-06-14 15:40:01.445959
453,,2023-06-14 15:40:02.240798
454,,2023-06-14 15:40:02.687377
455,,2023-06-14 15:40:10.334659
456,,2023-06-14 15:40:18.570661
457,,2023-06-14 15:40:19.102845
458,,2023-06-14 15:41:13.418983
459,,2023-06-14 15:44:02.954566
460,,2023-06-14 15:44:03.792533
462,,2023-06-14 15:46:07.108762
463,,2023-06-14 15:46:07.669115
465,,2023-06-14 15:52:10.005968
466,,2023-06-14 15:52:13.097644
467,,2023-06-14 15:52:17.341743
469,,2023-06-14 15:59:26.332620
470,,2023-06-14 15:59:46.771074
476,,2023-06-15 16:57:03.458910
482,,2023-06-15 17:10:42.631563
484,,2023-06-15 17:12:13.706558
491,,2023-06-15 17:47:48.773034
510,,2023-06-27 13:12:57.527522
511,,2023-06-27 13:17:55.501088
512,,2023-06-27 13:19:27.586754
513,,2023-06-27 13:23:20.951215
515,,2023-06-28 10:17:12.180181
516,,2023-06-28 10:39:13.305776
517,,2023-06-28 14:24:49.518046
518,,2023-06-28 15:18:06.715539
168,"基础主题-获取新增数据失败-('createTime',);",2023-06-28 15:43:29.535165
169,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 15:46:49.861835
170,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 16:19:41.170391
171,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 16:24:51.210169
178,"基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);",2023-06-28 16:31:48.489943
179,"基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);",2023-06-28 16:33:14.022910
519,,2023-06-29 09:55:13.836579
520,,2023-06-30 10:14:38.956958
521,,2023-06-30 10:40:36.151025
522,,2023-06-30 11:36:47.069962
